"Gaisano Mall Davao MBI - March 1, 2026",,,,,,,
,,,,,,,
BRAND,THE HEALTHSHOP PRODUCTS,UoM,Content,Ave Unit Cost,Selling Price,QTY,Expiry Date
,,,,,,,
,THS - CHINESE PRODUCTS,,,,,,
CH,PEI PA KOA CANDY 24S PC,PC,24, 4.27 , 6.00 ,,
CH,PEI PA KOA CANDY 24S (FAT&THIN),PACK,, 82.50 , 145.00 ,,
CH,PHOSDOC BRAIN TONIC 150ML.,BOT,, 190.00 , 260.00 ,11,4/30/30
CH,PIYEN CHIN 10ML 50S,BOT,, 15.00 , 30.00 ,17,11/1/27
CH,RAPID SLIM 12'S,BOX,, 180.00 , 395.00 ,,
CH,GLUTHATHIONE 2-IN-1 SOAP,BAR,, 90.00 , 195.00 ,,
CH,RENOW-D FACIAL CREAM BIG,BOX,, 35.00 , 65.00 ,,
CH,RENOW-D FACIAL CREAM SMALL,BOX,, 25.00 , 40.00 ,,
CH,RHEUMATON CAPSULE 30S,BOT,, 200.00 , 295.00 ,,
CH,SHILINGTONG 100S,BOT,, 96.25 , 120.00 ,,
CH,SHIU DUO WAN,BOT,, 150.00 , 210.00 ,,
CH,SHOU WU PIAN,BOT,, 135.63 , 225.00 ,,
CH,SKIN FIGHTER CREAM,TUBE,, 60.00 , 90.00 ,58,12/31/28
CH,SKIN HELP 10G,BOX,, 100.00 , 170.00 ,,
CH,SLAKING THIRST (DIABETES PILLS) 50'S,BOT,, 150.00 , 295.00 ,,
CH,SNAKE BONE 12S,BOT,, 240.00 , 395.00 ,,
CH,SNAKE BONE 12S PC,PC,12, 20.00 , 33.00 ,,
CH,SNAKE BONE 20S,BOT,, 250.00 , 395.00 ,,
CH,SNAKE BONE 20S PC,PC,20, 12.50 , 20.00 ,,
CH,STONE REPELLENT 50S,BOT,, 255.00 , 350.00 ,,
CH,THYROID GLAND CARE 50S,BOT,, 225.00 , 285.00 ,3,1/1/30
CH,THYROID GLAND CARE 36S (GOLDEN DRAGON),BOT,, 180.00 , 275.00 ,,
CH,TONG LIN  90S,BOT,, 170.00 , 295.00 ,,
CH,TOP GEL CREAM SMALL,BOX,, 60.00 , 95.00 ,2,5/1/31
CH,TOP GEL SOAP,BOT,, 60.00 , 100.00 ,,
CH,TOPGEL W/ GINSENG,BOX,, 133.00 , 195.00 ,,
CH,TOPGEL W/ VIT E,BOX,, 112.00 , 180.00 ,,
CH,TORO CUPS 6'S,BOT,, 35.00 , 250.00 ,,
CH,TORO CUPS 6'S PC,PC,6, 5.83 , 50.00 ,,
CH,TUNG SHEU PILLS ( COWS HEAD),BOT,, 216.00 , 345.00 ,12,11/1/29
CH,VIGOROUS - RED CATTLE 15'S,BOT,, 70.00 , 250.00 ,,
CH,VIGOROUS - RED CATTLE 15'S PC,PC,15, 4.67 , 30.00 ,,
CH,VIGOROUS - YELLOW 9s,BOT,, 60.00 , 250.00 ,,
CH,VIGOROUS - YELLOW 9s PC,PC,9, 6.67 , 30.00 ,,
CH,XINMAINING PIAN SUMALIN 100S,BOT,, 90.00 , 180.00 ,,
CH,YING DA WANG 6S,BOT,, 30.03 , 150.00 ,25,11/1/28
CH,YING DA WANG 6S PC,PC,6, 5.00 , 50.00 ,,
CH,HAPPY KING 12S,BOT,, 80.00 , 600.00 ,,
CH,HAPPY KING 12S PC,PC,12, 6.67 , 50.00 ,,
CH,MIPIACI ORGANIC BARLEY POWDER 200G,BOT,, 300.00 , 650.00 ,5,3/30/27
CH,ALASKA FISH OIL 100S,BOT,, 80.00 , 395.00 ,19,1/30/29
CH,ALASKA FISH OIL 100S PC,PC,100, 0.80 , 4.00 ,,
CH,BIOFITEA,BOT,, 146.25 , 250.00 ,6,12/1/30
CH,BIOFITEA PC,PC,30, 4.88 , 10.00 ,,
CH,ANTI CANCERLIN,BOT,, 200.00 , 345.00 ,,
CH,GUYABANO CAPSULE 50GM 100'S,BOX,, 80.00 , 245.00 ,,
CH,KASOY OIL 60ML,BOT,, 30.00 , 100.00 ,,
CH,DXN,BOX,, 550.00 , 900.00 ,,
CH,DXN 20 PC,PC,20, 27.50 , 55.00 ,,
CH,SERPENTINA 50GMS CAPSULE 100'S,BOT,, 80.00 , 195.00 ,12,1/1/27
CH,SERPENTINA 50GMS CAPSULE 100'S PC,PC,100, 0.80 , 3.00 ,,
CH,SAMBONG CAPSULE 50GM 100'S,BOT,, 80.00 , 245.00 ,4,1/1/27
CH,BIGUERLAI LAXATIVE TEA 2G 25S,BOX,, 150.00 , 295.00 ,,
CH,BIGUERLAI LAXATIVE TEA 2G 25S PC,PC, 25.00 , 6.00 , 15.00 ,,
CH,ROYAL JELLY 30S (DK),BOT,, 300.00 , 495.00 ,,
CH,PARAGIS CAPSULE 50GM 100'S,BOT,, 80.00 , 150.00 ,4,1/31/28
CH,QING TIAN ZHU/POTALA 4S,BOX,, 90.00 , 150.00 ,,
,,,,,,,
,OTHER CHINESE PRODUCTS,,,,,,
OSP,LINGZHI CHUANG YAO WAN PADS 50S,BOX,, 390.00 , 625.00 ,10,3/31/28
OSP,LINGZHI CHUANG YAO WAN PADS 50S PC,PC,50, 7.80 , 15.00 ,20,3/31/28
OSP,LINGZHI GEJIE PILLS 30S,BOT,, 290.00 , 700.00 ,130,3/31/28
OSP,LINGZHI GEJIE PILLS 30S PC,PC,30, 9.67 , 30.00 ,15,3/31/28
,,,,,,,
,OTHER CHINESE BEAUTY PRODUCTS,,,,,,
,A BONNE,,,,,,
BP-AB,MILK POWER LIGHTENING LOTION,BOT,, 140.00 , 300.00 ,,
BP-AB,SALT REFILL 350G,PACK,, 68.00 , 130.00 ,,
BP-AB,SPA MILK SALT 380G,BOT,, 83.13 , 155.00 ,,
BP-AS,PINK NIPPLE CREAM 10.0G,TUBE,, 95.00 ,,,
,,,,,,,
,,,,,,,
,YOKO,,,,,,
BP-YK,ACNE MELASMA COQ10 (DARK PINK),BOX,, 18.75 , 30.00 ,,
BP-YK,ACNE MELASMA CREAM 4G (PINK),BOX,, 16.67 , 30.00 ,,
BP-YK,HERBAL FRUITY CREAM 4G (YELLOW),BOX,, 17.50 , 30.00 ,,
BP-YK,PAPAYA EXTRACT CREAM,BOX,, 18.75 , 30.00 ,,
BP-YK,W/ GINSENG PEARLS 4G (RED),BOX,, 18.75 , 30.00 ,,
BP-YK,WHITENING CREAM 4G OTHERS (WHITE) IMPORTED,BOX,, 18.75 , 30.00 ,,
BP-YK,WHITENING CREAM COENZYME Q10 4G (VIOLET),BOX,, 16.67 , 30.00 ,,
,,,,,,,
,CENTRUM,,,,,,
CE,CENTRUM PLAIN 365S,BOT,," 1,400.00 "," 2,600.00 ",,
CE,CENTRUM PLAIN 365S PC,PC,365, 3.84 , 10.00 ,,
CE,CENTRUM SILVER 325'S,BOT,," 1,380.19 "," 3,250.00 ",,
CE,CENTRUM SILVER 325'S PC,PC,325, 4.25 , 15.00 ,16,2/1/27
CE,CENTRUM PLAIN 425S,BOT,," 1,650.00 "," 2,950.00 ",,
CE,CENTRUM PLAIN 425S PC,PC,425, 3.88 , 12.00 ,,
,,,,,,,
,HPI PRODUCTS,,,,,,
HPI,HPI- KIDNEY CLEANSE 60'S,BOT,," 1,100.00 "," 1,980.00 ",,
HPI,HPI-KIDNEY CLEANSE 60'S PC,PC,60, 18.33 , 33.00 ,,
HPI,HPI SUPER COLON CLEANSE 240S,BOT,," 1,350.00 "," 2,350.00 ",,
HPI,HPI SUPER COLON CLEANSE 240S PC,PC,240, 5.63 , 14.00 ,,
HPI,HPI-LIVER DETOX 60'S,BOT,," 1,200.00 "," 1,995.00 ",,
HPI,HPI-LIVER DETOX 60'S PC,PC,60, 20.00 , 40.00 ,,
