"Gaisano Mall Davao MBI - March 1, 2026",,,,,,,
,,,,,,,
BRAND,THE HEALTHSHOP PRODUCTS,UoM,Content,Ave Unit Cost,Selling Price,QTY,Expiry Date
,,,,,,,
,THS - CHINESE PRODUCTS,,,,,,
SW,SWANSON FLAXSEED OIL 200'S PC,PC,200, 3.60 , 8.00 ,,
SW,SWANSON CHROMIUM PICOLINATE 200'S,BOT,, 463.32 ," 1,100.00 ",,
SW,SWANSON CHROMIUM PICOLINATE 200'S PC,PC,200, 2.32 , 7.00 ,,
SW,SWANSON MACA 500MG 100S,BOT,, 520.65 ," 1,200.00 ",,
SW,SWANSON MACA 500MG 100S PC,PC,100, 5.21 , 14.00 ,,
SW,SWANSON VITAMIN D3 5000IU 250'S,BOT,, 561.63 ," 1,950.00 ",,
SW,SWANSON VITAMIN D3 5000IU 250'S PC,PC,250, 2.25 , 12.00 ,,
SW,SWANSON CHROMIUM PICOLINATE 100'S,BOT,, 251.76 , 795.00 ,1,3/1/28
SW,SWANSON CHROMIUM PICOLINATE 100'S PC,PC,100, 2.52 , 10.00 ,,
SW,SWANSON CO Q10 100MG 100'S,BOT,, 845.20 ," 2,100.00 ",,
SW,SWANSON CO Q10 100MG 100'S PC,PC,100, 8.45 , 22.00 ,,
SW,SWANSON POTASSIUM CITRATE 100'S,BOT,, 325.70 , 800.00 ,,
SW,SWANSON ASHWAGANDA 100'S,BOT,, 375.92 , 995.00 ,,
SW,SWANSON ASHWAGANDA 100'S PC,PC,100, 3.76 , 12.00 ,,
SW,SWANSON ALPHA LIFOIC ACID 300MG 60S,BOT,, 382.50 , 500.00 ,,
SW,SWANSON ALPHA LIFOIC ACID 600MG 60S,BOT,,," 1,700.00 ",,
SW,SWANSON E400 MIXED TOCOPHEROLS 100,BOT,,, 600.00 ,,
SW,SWANSON QUERCETIN 475MG 60S,BOT,,, 500.00 ,,
SW,SWANSON MILK THISTLE 500MG 100S,BOT,, 270.04 , 995.00 ,,
SW,SWANSON MILK THISTLE 500MG 120S,BOT,, 492.58 ," 1,095.00 ",,
SW,SWANSON MILK THISTLE 500MG 120S PC,PC,120, 4.10 , 12.00 ,,
SW,SWANSON IPOCITOL 650MG 100'S ,BOT,,, -   ,,
,,,,,,,
,,,,,,,
,OUS-LGD,,,,,,
OUS-LGD,21ST CENTURY ACIDOPHILUS PROBIOTIC BLEND 150'S,BOT,, 490.80 , 995.00 ,,
OUS-LGD,21ST CENTURY B COMPLEX PLUS C 100S,BOT,, 360.01 , 650.00 ,,
OUS-LGD,21ST CENTURY B12 1000MCG 110'S,BOT,, 341.75 , 895.00 ,,
OUS-LGD,21ST CENTURY B12 500MCG 110S,BOT,, 253.42 , 495.00 ,,
OUS-LGD,21ST CENTURY B12 500MCG 110S PC,PC,110, 2.30 , 8.00 ,,
OUS-LGD,21ST CENTURY B12 PROLONG RELEASE 1000MCG 100S,BOT,, 336.74 , 595.00 ,,
OUS-LGD,21ST CENTURY BIOTIN 10000MCG 120'S,BOT,, 444.77 , 895.00 ,,
OUS-LGD,21ST CENTURY BIOTIN 5000MCG 110'S,BOT,, 348.41 , 650.00 ,,
OUS-LGD,21ST CENTURY BIOTIN 5000MCG 110'S PC,PC,110, 3.17 , 6.00 ,,
OUS-LGD,21ST CENTURY C1000MG W/ ROSEHIPS 110S,BOT,, 478.94 ," 1,095.00 ",,
OUS-LGD,21ST CENTURY C1000MG W/ ROSEHIPS 110S PC,PC,110, 4.35 , 11.00 ,,
OUS-LGD,21ST CENTURY FLAXSEED OIL 1000MG 120S,BOT,, 511.92 ," 1,100.00 ",1,9/1/27
OUS-LGD,21ST CENTURY FLAXSEED OIL 1000MG 120S PC,PC,120, 4.27 , 12.00 ,,
OUS-LGD,21ST CENTURY FOLIC ACID 400MG 250'S,BOT,, 206.75 , 595.00 ,,
OUS-LGD,21ST CENTURY FOLIC ACID 400MG 250'S PC,PC,250, 0.83 , 3.00 ,,
OUS-LGD,21ST CENTURY FOLIC ACID 800MG 180'S,BOT,, 242.09 , 550.00 ,,
OUS-LGD,21ST CENTURY MELATONIN 10MG 120S,BOT,, 484.13 , 995.00 ,,
OUS-LGD,21ST CENTURY MELATONIN 10MG 120S PC,PC,120, 4.03 , 10.00 ,,
OUS-LGD,21ST CENTURY MELATONIN 3MG 200S,BOT,, 389.79 , 995.00 ,,
OUS-LGD,21ST CENTURY MELATONIN 3MG 200S PC,PC,200, 1.95 , 6.00 ,,
OUS-LGD,21ST CENTURY MELATONIN 3MG 90S,BOT,, 241.99 , 595.00 ,,
OUS-LGD,21ST CENTURY MELATONIN 5MG 120S,BOT,, 392.50 , 850.00 ,,
OUS-LGD,21ST CENTURY MELATONIN 5MG 120S PC,PC,120, 3.27 , 8.00 ,,
OUS-LGD,21ST CENTURY ZINC 50MG 360'S,BOT,, 445.13 ," 1,250.00 ",,
OUS-LGD,21ST CENTURY ZINC 50MG 360'S PC,PC,360, 1.24 , 6.00 ,,
OUS-LGD,AN GREEN TEA FAT BURNER 30s,BOT,, 502.05 , 995.00 ,,
OUS-LGD,AN GREEN TEA FAT BURNER 30S PC,PC,30, 16.74 , 35.00 ,,
OUS-LGD,AN GREEN TEA FAT BURNER 90S,BOT,," 1,025.49 "," 2,000.00 ",,
OUS-LGD,AN GREEN TEA FAT BURNER 90S PC,PC,90, 11.39 , 25.00 ,,
OUS-LGD,CALIFORNIA GOLD LACTOBIF5 PROBIOTICS FB 60S,BOT,, 477.75 , 995.00 ,,
OUS-LGD,CALIFORNIA GOLD NUTRITION BIOTIN 10000MCG 90S,BOT,, 412.00 , 895.00 ,,
OUS-LGD,CALIFORNIA GOLD NUTRITION COQ10 100MG 120'S,BOT,, 949.04 ," 1,995.00 ",,
OUS-LGD,CALIFORNIA GOLD NUTRITION COQ10 100MG 120'S PC,PC,120, 7.91 , 20.00 ,,
OUS-LGD,CALIFORNIA GOLD NUTRITION L-GLUTATHION 500MG 30'S,BOT,, 541.65 ," 1,180.00 ",,
OUS-LGD,CALIFORNIA GOLD NUTRITION OMEGA 3 FISH OIL 100'S,BOT,, 560.75 , 750.00 ,,
OUS-LGD,CALIFORNIA GOLD NUTRITION OMEGA 3 FISH OIL 240'S,BOT,," 1,323.28 "," 2,495.00 ",,
OUS-LGD,CALIFORNIA GOLD NUTRITION OMEGA 3 FISH OIL 240'S PC,PC,240, 5.51 , 12.00 ,,
OUS-LGD,CALIFORNIA GOLD VITAMIN C 500MG 240S,BOT,, 616.40 , -   ,,
OUS-LGD,CALIFORNIA GOLD NUTRITION MARINE COLLAGEN 206G,PACK,, 891.79 ," 1,650.00 ",,
OUS-LGD,DOCTORS BEST CO Q10 120'S,BOT,, 945.89 ," 2,200.00 ",,
OUS-LGD,DOCTORS BEST CO Q10 120'S PC,PC,120, 7.88 , 20.00 ,,
OUS-LGD,DOCTORS BEST GINKO BILOBA 120MG 120'S,BOT,, 541.94 ," 1,300.00 ",,
OUS-LGD,DOCTORS BEST GINKO BILOBA 120MG 360'S,BOT,," 1,292.47 "," 2,450.00 ",,
OUS-LGD,DOCTORS BEST GINKO BILOBA 120MG 360'S PC,PC,360, 3.59 , 9.00 ,,
OUS-LGD,DOCTORS BEST VIT D3 5000IU 180S,BOT,, 312.87 , 995.00 ,,
OUS-LGD,DW APPETITE CONTROL PREBIOTIC GUMMIES 60s,BOT,, 710.90 ," 1,295.00 ",,
OUS-LGD,KAL CAL MAG ZINC 100'S,BOT,, 453.71 , 795.00 ,1,10/1/28
OUS-LGD,KAL CAL MAG ZINC 90'S,BOT,, 334.43 , 750.00 ,,
OUS-LGD,KAL MAGNESIUM GLYCINATE 350MG 160S,BOT,, 785.14 ," 1,695.00 ",7,5/1/29
OUS-LGD,KAL MAGNESIUM GLYCINATE 350MG 160S PC,PC,160, 4.91 , 15.00 ,102,5/1/29
OUS-LGD,KAL POTASSIUM CITRATE 99MG 100S,BOT,, 252.51 , 550.00 ,,
OUS-LGD,KAL POTASSIUM CHLORIDE 99MG 100S,BOT,, 206.24 , 550.00 ,,
OUS,LUXCENT L-GLUTATHIONE 60S,BOT,," 1,100.00 "," 1,900.00 ",,
OUS,LUXCENT L-GLUTATHIONE 60S PC,PC,60, 18.33 , 65.00 ,,
OUS-LGD,NATROL ACIDOPHILUS PROBIOTIC 150S,BOT,, 478.15 ," 1,050.00 ",,
OUS-LGD,NATROL MELATONIN 3MG 240S,BOT,, 603.34 ," 1,695.00 ",,
OUS-LGD,NATROL MELATONIN 3MG 240S PC,PC,240, 2.51 , 8.00 ,,
OUS-LGD,NATROL MELATONIN 3MG 90'S,BOT,, 555.00 ," 1,095.00 ",,
OUS-LGD,NATROL MELATONIN 5MG 100'S,BOT,, 604.57 , 950.00 ,,
OUS-LGD,NATROL MELATONIN 5MG 100'S PC,PC,100, 6.05 , 8.00 ,,
OUS-LGD,NATROL MELATONIN 5MG 150'S,BOT,, 856.92 ," 1,500.00 ",,
OUS-LGD,NATROL MELATONIN 5MG 150'S PC,PC,150, 5.71 , 12.00 ,,
OUS-LGD,NATURAL FACTORS ASHWAGANDA 600MG 30'S,BOT,, 630.00 ," 1,200.00 ",,
OUS-LGD,NATURAL FACTORS MELATONIN 3MG 180'S,BOT,, 403.29 ," 1,000.00 ",,
OUS-LGD,NATURAL FACTORS MELATONIN 3MG 180'S PC,PC,180, 2.24 , 6.00 ,,
OUS-LGD,NATURAL FACTORS MELATONIN 3MG 90S CHEWABLE,BOT,, 380.66 , 595.00 ,,
OUS-LGD,NATURAL FACTORS MELATONIN 3MG 90S CHEWABLE PC,PC,90, 4.23 , 10.00 ,,
OUS-LGD,NATURAL FACTORS MELATONIN 5MG 180'S,BOT,, 562.85 ," 1,395.00 ",,
OUS-LGD,NATURAL FACTORS MELATONIN 5MG 180'S PC,PC,180, 3.13 , 9.00 ,,
OUS-LGD,NATURAL FACTORS MELATONIN 5MG 90'S,BOT,, 393.10 , 850.00 ,,
OUS-LGD,NATURAL FACTORS MELATONIN 5MG 90'S PC,PC,90, 4.37 , 12.00 ,,
OUS-LGD,NATURAL FACTORS POTASSIUM CITRATE 99MG 90S,BOT,, 246.68 , 595.00 ,1,9/30/28
OUS-LGD,NATURES LIFE VIT E 400 IU TOCOPHEROL 100S,BOT,, 866.00 ," 1,750.00 ",,
OUS-LGD,NATURES LIFE VIT E 400 IU TOCOPHEROL 100S PC,PC,100, 8.66 , 20.00 ,,
OUS-LGD,NATURES MADE FOLIC ACID 400MCG 250'S,BOT,, 342.77 ," 1,100.00 ",,
OUS-LGD,NATURES MADE FOLIC ACID 400MCG 250'S PC,PC,250, 1.37 , 5.00 ,,
OUS-LGD,NATURES MADE MELATONIN 3MG 240'S,BOT,, 554.44 ," 1,195.00 ",,
OUS-LGD,NATURES MADE MELATONIN 3MG 240'S PC,PC,240, 2.31 , 6.00 ,,
OUS-LGD,NATURE'S TRUTH APPLE CIDER VINEGAR 75'S,BOT,, 703.02 ," 1,195.00 ",,
OUS-LGD,NATURES TRUTH FOLIC ACID 800MG 250'S,BOT,, 405.12 , 895.00 ,,
OUS-LGD,NATURES TRUTH FOLIC ACID 800MG 250'S PC,PC,250, 1.62 , 6.00 ,,
OUS-LGD,NATURES WAY ALIVE KIDS MULTIVIT GUMMIES 60'S,BOT,, 593.02 , 995.00 ,,
OUS-LGD,NEOCELL SUPER COLLAGEN + VITC BIOTIN 180S,BOT,, 844.40 ," 2,300.00 ",,
OUS-LGD,NEOCELL SUPER COLLAGEN + VITC BIOTIN 180S PC,PC,180, 4.69 , 15.00 ,,
OUS-LGD,NEOCELL SUPER COLLAGEN + VITC BIOTIN 270S,BOT,," 1,126.14 "," 2,950.00 ",,
OUS-LGD,NEOCELL SUPER COLLAGEN + VITC BIOTIN 270S PC,PC,270, 4.17 , 15.00 ,,
OUS-LGD,NEOCELL GRASSFED COLLAGEN PEPTIDES + VITC BIOTIN 180S,BOT,, 850.50 ," 2,300.00 ",,
OUS-LGD,NEOCELL GRASSFED COLLAGEN PEPTIDES + VITC BIOTIN 180S PC,PC,180, 4.72 , 15.00 ,,
OUS-LGD,NEOCELL GRASSFED COLLAGEN PEPTIDES + VITC BIOTIN 270S,BOT,," 1,109.36 "," 2,950.00 ",,
OUS-LGD,NEOCELL GRASSFED COLLAGEN PEPTIDES + VITC BIOTIN 270S PC,PC,270, 4.11 , 15.00 ,,
OUS-LGD,NEOCELL GRASSFED COLLAGEN PEPTIDES + VITC BIOTIN 360S,BOT,," 1,300.00 "," 3,495.00 ",3,6/1/28
OUS-LGD,NEOCELL GRASSFED COLLAGEN PEPTIDES + VITC BIOTIN 360S PC,PC,360, 3.61 , 12.00 ,280,6/1/28
OUS-LGD,NOW FOLIC ACID 800MG 250'S,BOT,, 303.40 , 550.00 ,,
OUS-LGD,NOW FOLIC ACID 800MG 250'S PC,PC,250, 1.21 , 5.00 ,,
OUS-LGD,NOW GLUTATHIONE 500MG 30S,BOT,, 770.40 ," 1,650.00 ",,
OUS-LGD,NOW MAGNESIUM L-THREONATE 90S,BOT,," 1,756.40 "," 2,595.00 ",,
OUS-LGD,NOW MAGNESIUM L-THREONATE 90S PC,PC,90, 19.52 , 35.00 ,,
OUS-LGD,NUTRICOST EVENING PRIMROSE OIL 1300MG 120S,BOT,, 801.04 ," 1,495.00 ",,
OUS-LGD,NUTRICOST EVENING PRIMROSE OIL 1300MG 120S PC,PC,120, 6.68 , 15.00 ,,
OUS-LGD,NUTRICOST GLUTATHION REDUCED 500MG 240S,BOT,," 2,845.28 "," 6,950.00 ",1,2/1/28
OUS-LGD,NUTRICOST GLUTATHION REDUCED 500MG 240S PC,PC,240, 11.86 , 30.00 ,185,2/1/28
OUS-LGD,NUTRICOST MILK THISTLE 1000MG 240'S,BOT,, 644.11 ," 1,395.00 ",,
OUS-LGD,NUTRICOST MILK THISTLE 1000MG 240'S PC,PC,240, 2.68 , 8.00 ,,
OUS-LGD,NUTRICOST VITAMIN B12 1000MCG METHYLCO 120S,BOT,, 456.82 , 950.00 ,,
OUS-LGD,NUTRICOST VITAMIN B12 1000MCG METHYLCO 120S PC,PC,120, 3.81 , 10.00 ,,
OUS-LGD,NUTRICOST VITAMIN B12 2000MCG METHYLCO 240S,BOT,, 653.66 ," 1,900.00 ",,
OUS-LGD,NUTRICOST VITAMIN B12 2000MCG METHYLCO 240S PC,PC,240, 2.72 , 10.00 ,10,6/1/28
OUS-LGD,PURE METHYL B12 SPRAY 1FLOZ,BOT,, 817.04 , -   ,,
OUS-LGD,SOLARAY B-1 100MG 100'S,BOT,, 387.00 , 725.00 ,,
OUS-LGD,SOLARAY MAGNESIUM GLYCINATE 350MG 120S,BOT,, 716.40 ," 1,595.00 ",,
OUS-LGD,SOLARAY MAGNESIUM GLYCINATE 350MG 120S PC,PC,120, 5.97 , 15.00 ,,
OUS-LGD,SOLARAY MAGNESIUM GLYCINATE 350MG 240S,BOT,," 1,289.36 "," 2,495.00 ",,
OUS-LGD,SOLARAY MAGNESIUM GLYCINATE 350MG 240S PC,PC,240, 5.37 , 15.00 ,,
OUS-LGD,SOLARAY POTASSIUM 99MG 200'S,BOT,, 511.11 ," 1,200.00 ",,
OUS-LGD,SOLARAY POTASSIUM 99MG 200'S PC,PC,200, 2.56 , 8.00 ,,
OUS-LGD,SOLARAY ZINC MG 50MG 100'S,BOT,, 307.39 , 995.00 ,,
OUS-LGD,SOLARAY ZINC MG 50MG 100'S PC,PC,100, 3.07 , 12.00 ,,
OUS-LGD,SWANSON BIOTIN 5000MCG 100'S,BOT,, 330.47 , 850.00 ,,
OUS-LGD,SWANSON EVENING PRIMROSE 500MG 100S,BOT,, 396.01 , 895.00 ,,
OUS-LGD,SWANSON GARCINIA CAMBOGIA 60S,BOT,, 181.96 , 445.00 ,1,4/30/28
OUS-LGD,SWANSON L-ARGININE 500MG 100'S,BOT,, 251.00 , 795.00 ,,
OUS-LGD,SWANSON MELATONIN 3MG 120'S,BOT,, 272.08 , 595.00 ,,
OUS-LGD,SWANSON MELATONIN 5MG 60'S,BOT,, 234.40 , 595.00 ,,
OUS-LGD,SWANSON POTASSIUM CITRATE 99MG 120'S,BOT,, 288.46 , 800.00 ,1,4/1/28
OUS-LGD,SWANSON REDUCED L-GLUTATHION DOUBLE STRENGTH 60S CAPS,BOT,, 758.75 ," 1,450.00 ",,
OLP-LGD,SWANSON SAW PALMETTO 540MG 250'S,BOT,, 739.12 ," 1,595.00 ",,
OLP-LGD,SWANSON SAW PALMETTO 540MG 250'S PC,PC,250, 2.96 , 8.00 ,,
OUS-LGD,TRACE CONCENTRACE 50ML,BOT,, 715.54 ," 1,200.00 ",,
OUS-LGD,LE Neoro-Mag Magnesium L-Threonate 90s,BOT,," 1,718.38 "," 2,950.00 ",,
OUS-LGD,LE Neoro-Mag Magnesium L-Threonate 90s PC,pc,90, 19.09 , 35.00 ,,
OUS-LGD,NUTRICOST B1 100MG 120S,BOT,, 455.00 , 895.00 ,2,3/1/28
OUS-LGD,NUTRICOST B1 100MG 120S PC,pc,120, 3.79 , 10.00 ,,
OUS-LGD,SOLARAY POTASSIUM 99MG 100'S,BOT,, 304.43 , 695.00 ,,
OUS-LGD,SOLARAY POTASSIUM 99MG 100'S PC,pc,100, 3.04 , 8.00 ,,
OUS-LGD,SOLGAR B-1 100MG 100S,BOT,, 590.88 , 995.00 ,2,6/1/27
OUS-LGD,CALIFORNIA GOLD NUTRITION VIT C1000MG 240'S,BOT,, 752.00 ," 1,495.00 ",1,9/1/28
OUS-LGD,CALIFORNIA GOLD NUTRITION VIT C1000MG 240'S PC,PC,240,3.133333333,7,140,9/1/28
,,,,,,,
,,,,,,,
,FERN D,,,,,,
FERN D,FERN D 60'S,BOT,, 580.00 , 820.00 ,,
FERN D,FERN D 120'S,BOT,, 940.00 ," 1,520.00 ",,
FERN D,FERN D 120'S PC,PC,120,7.833333333,15,,
,,,,,,,
,,,,,,,
,,,,,,,
,YAMATO,,,,,,
LP-YAM,PROVIMIN 200MG 150S,BOX,, 310.00 , 575.00 ,,
LP-YAM,PROVIMIN 200MG 150S PC,PC,150,2.066666667,5,,
,,,,,,,
,INTRA JUICE,,,,,,
OSP,INTRA JUICE  950ML,BOT,," 1,250.00 "," 1,870.00 ",15,9/1/27
OSP,INTRA CAPSULE 64'S,BOT,,1250,1870,,
,,,,,,,
,BUAH MERAH PRODUCTS,,,,,,
BM,BUAH MERAH MIX,BOT,, 223.00 , 350.00 ,,
BM,BUAH MERAH MIX 15 IN 1,BOT,,223,350,,
,,,,,,,
,NATURE'S GIFT,,,,,,
NG,NATURE'S GIFT VIRGIN COCONUT OIL 330ML,BOT,, 125.00 , 215.00 ,,
NG,NATURE'S GIFT VIRGIN COCONUT OIL 1000ML,BOT,,270,495,,
,,,,,,,
,BONA PRODUCTS,,,,,,
OLP,BONA SLIM 15 IN 1 COFFEE MIX 10'S,BOX,, 145.00 , 225.00 ,6,6/1/27
OLP,BONA VITA 8 IN 1 COFFEE MIX 10'S,BOX,, 145.00 , 225.00 ,9,12/1/26
OLP,BONA VITA STRAWBERRY DRINK 180G,PACK,,145,225,,
,,,,,,,
,RONVEGO,,,,,,
OSP,WACHICHAO HERBAL TEA 12S OTH,PACK,, 84.00 , 125.00 ,,
OSP,WACHICHAO HERBAL TEA 12S OTH PC,PC,12,7,11,,
,,,,,,,
,LACTO,,,,,,
LP-LACTO,LACTO BACILLUS PLANTARUM 1000 ML,BOT,, 330.00 , 450.00 ,,
LP-LACTO,LACTO BACILLUS PLANTARUM 500 ML,BOT,,180,270,,
,,,,,,,
,OTHER LOCAL PRODUCTS,,,,,,
LP-OTH,HAIRBAC SUPERGRO 150ML,BOT,, 320.00 , 550.00 ,2,
LP-OTH,KINGS HERBAL 1000ML,BOT,, 620.83 ," 1,200.00 ",13,7/1/27
LP-OTH,SQUALENE 100S CAPS ISSHO GENKI - OTHERS,BOX,, 493.75 ," 1,000.00 ",,
LP-OTH,SQUALENE 100S CAPS ISSHO GENKI - OTHERS PC,PC,100, 4.94 , 10.00 ,,
LP-OTH,TURMERIC INSTANT TEA 200G 12 IN 1,PACK,, 160.00 , 260.00 ,,
LP-OTH,TURMERIC INSTANT TEA 400G 12 IN 1,PACK,,280,450,3,
,,,,,,,
,,,,,,,
,NAMICA,,,,,,
NAM,NAMICA AMPALAYA TEA 20'S,BOX,, 55.00 , 150.00 ,,
NAM,NAMICA AMPALAYA TEA 20'S PC,PC,20, 2.75 , 5.00 ,,
NAM,NAMICA GUYABANO TEA 20'S,BOX,, 65.00 , 130.00 ,,
NAM,NAMICA MALUNGGAY TEA 20'S,BOX,, 55.00 , 150.00 ,3,1/1/29
NAM,NAMICA MALUNGGAY TEA 20'S PC,PC,20, 2.75 , 5.00 ,,
NAM,NAMICA PITO-PITO HERBAL TEA 20'S,BOX,, 50.00 , 120.00 ,,
NAM,NAMICA PITO-PITO HERBAL TEA 20'S PC,PC,20, 2.50 , 7.00 ,,
NAM,NAMICA SAMBONG TEA 20'S ,BOX,, 50.00 , 120.00 ,2,9/1/28
NAM,NAMICA SAMBONG TEA 20'S PC,PC,20, 2.50 , 7.00 ,,
NAM,BANABA PHIL. HERBAL TEA 20'S,BOX,, 50.00 , 120.00 ,3,10/1/28
NAM,BANABA PHIL. HERBAL TEA 20'S PC,PC,20,2.5,7,,
,,,,,,,
,,,,,,,
,,,,,,,
,PMS PRODUCTS,,,,,,
PMS,COLLAGEN COFFEE PREMIUM MIX 10's,BOX,, 165.00 , 275.00 ,,
PMS,GREEN COFFEE WITH BUAH MERAH 1O'S,BOX,, 165.00 , 275.00 ,,
PMS,TONGKAT ALI STRONG COFFEE 10'S,BOX,, 165.00 , 320.00 ,,
PMS,MANGOSTEEN CAPPUCCINO COFFEE 10'S,BOX,, 165.00 , 275.00 ,,
PMS,PMS BUAH MERAH 12 IN 1 500ML JUICE,BOT,,165,325,,
,,,,,,,
,VITA HERBS PRODUCTS,,,,,,
VITA,VITA HERBS GREEN COFFEE 10'S,BOX,, 130.00 , 250.00 ,,
VITA,VITA HERBS INSULIN PLANT COFFEE 10'S,BOX,, 135.00 , 275.00 ,,
VITA,VITA HERBS SERPENTINA COFFEE 10'S,BOX,, 130.00 , 295.00 ,,
VITA,VITA HERBS MANGOSTEEN GUYABANO COFFEE 12'S,BOX,, 100.00 , 250.00 ,,
VITA,VITALABS SUPER FAT BURNER 90'S,BOX,, 560.00 ," 1,200.00 ",,
VITA,VITALABS SUPER FAT BURNER 90'S pc,PC,90, 6.22 , 15.00 ,,
VITA,VITA HERBS BARLEY ORGANIC GRASS COFFEE,BOX,,130,295,,
,,,,,,,
,GLUTA LIPO PRODUCTS,,,,,,
OLP,GLUTA LIPO JUICE,BOX,, 211.64 , 370.00 ,,
OLP,GLUTA LIPO COFFEE,BOX,, 211.09 , 370.00 ,,
OLP,GLUTA LIPO DARK CHOCOLATE,BOX,, 242.50 , 420.00 ,,
OLP,GLUTA LIPO FIBER,BOX,, 241.88 , 420.00 ,,
OLP,GLUTA LIPO RED ICED TEA,BOX,, 240.31 , 420.00 ,,
OLP,GLUTA LIPO RED ICED TEA PC,PC,10, 24.03 , 45.00 ,,
OLP,GLUTA LIPO CARB CONTROL TROPICA LYCHEE,BOX,, 270.00 , 420.00 ,,
OLP,GLUTA LIPO CARB CONTROL CREAMY LATTE,BOX,, 270.00 , 420.00 ,,
OLP,GLUTA LIPO CARB CONTROL CLASSIC VANILLA,BOX,,270,420,,
,,,,,,,
,OTHER BEAUTY PRODUCTS,,,,,,
OLP,LUXE SLIM 4 SEASON 10S,BOX,, 290.00 , 395.00 ,,
OLP,LUXE SLIM MACHA LATTE 10S,BOX,, 285.00 , 395.00 ,,
OLP,LUXE SLIM CAFÉ MACHIATO 10S,BOX,, 280.52 , 450.00 ,,
OLP,LUXE SLIM CAFÉ MACHIATO 8S,BOX,, 295.00 , 450.00 ,,
OLP,NATURES GLOW GLUTATHIONE COLLAGEN STRAWBERRY 60S,BOT,, 270.82 , 495.00 ,,
OLP,NATURE GLOW GLUTATHIONE CRANBERRY GUMMIES 60'S ,BOT,, 275.00 , 495.00 ,,
OLP,FITGUM APPLE CIDER 60S,BOT,, 275.09 , 495.00 ,,
OLP,NUGEN BLOOM COLLAGEN COFFEE 10S,BOX,, 180.00 , 295.00 ,,
OLP,LUXE SLIM CUCUMBER AND DALANDAN 10S,BOX,, 290.00 , 395.00 ,,
OLP,LUXE BEAUTY DARK CHOCOLATE 10'S ,BOX,, 290.00 , 395.00 ,,
OLP,LISHOU COFFEE 15'S,CAN,, 210.00 , 380.00 ,,
OLP,BRILLIANT SKIN,BOT,, 210.00 , 375.00 ,,
OLP,FAIRY SKIN PINK,PACK,, 265.00 , 350.00 ,,
OLP,FAIRY SKIN PREMIUM BRIGHTENING SET,PACK,, 265.00 , 375.00 ,,
OLP,FAIRY SKIN BLUE,SET,, 180.00 , 300.00 ,,
OLP,ORGANIC PROTEIN VANILLA 2.7LBS,BOT,," 1,743.83 "," 2,995.00 ",,
OLP,ORGANIC PROTEIN CHOCO 2.64LBS,BOT,," 1,743.83 "," 2,995.00 ",,
OLP,BLUE MIRACLE 100ML,BOT,, 150.00 , 295.00 ,2,NO EXPIRY
OLP,LP CHIA SEEDS,PACK,, 68.00 , 150.00 ,,
OLP,THS WHITENING GLUTA GUMMIES,BOT,, 275.00 , 495.00 ,,
OLP,BEAUTY VAULT LUMI GLUTATHIONE CAPSULES 60'S,BOT,, 280.00 , 495.00 ,,
OLP,BEAUTY VAULT PREMIUM REJUVENATING SET,BOX,, 180.00 , 330.00 ,,
OLP,BEAUTY VAULT WHITENING PLUS MAINTENANCE SET,BOX,, 180.00 , 330.00 ,,
OLP,PERFECT SKIN SUNSCREEN BUY 1 TAKE 1,PACK,, 140.00 , 225.00 ,,
OLP,BRILLIANT SKIN SUNBLOCK 50G,SACHET,, 215.00 , 325.00 ,,
OLP,BRILLIANT KOJIC SOAP MINI 70G,BAR,, 35.00 , 65.00 ,,
OLP,BRILLIANT KOJIC SOAP 135G,BAR,, 65.00 , 100.00 ,,
OLP,PERFECT SKIN SUNBLOCK TINTED,SACHET,, 140.00 , 235.00 ,,
OLP,HIKARI ULTRAWHITE SUNSCREEN,SACHET,, 150.00 , 235.00 ,,
OLP,HIKARI ULTRA CAPSULES 60'S,BOT,, 270.00 , 495.00 ,,
OLP,HABIBI SKIN ESSENTIAL SOAP,BAR,, 113.75 , 195.00 ,,
OLP,HABIBI MILKY PEELING SOAP,BAR,, 17.50 , 35.00 ,,
OLP,SKIN PERFECTION,SET,, 145.00 , 235.00 ,,
OLP,BRILLIANT SUNBLOCK 13G,PCK,, 70.00 , 145.00 ,,
OLP,PERFECT SKIN REJUV SET,SET,, 130.00 , 295.00 ,,
OLP,PERFECT SKIN SUNBLOCK 50G,PCK,, 130.00 , 275.00 ,,
OLP,FITGUM COLLAGEN W/ CHIA COFFEE 10'S,PCK,, 165.00 , 295.00 ,,
OLP,PERFECT SKIN SUNBLOCK PLUS GEL LIPTINT,PCK,, 125.00 , 275.00 ,,
OLP,PERFECT SKIN SUNBLOCK PLUS SERUM FOUNDATION LIGHT,PCK,, 125.00 , 275.00 ,,
OLP,PERFECT SKIN SUNBLOCK PLUS SERUM FOUNDATION FAIR,PCK,, 125.00 , 275.00 ,,
OLP,PERFECT SKIN SUNBLOCK PLUS SERUM FOUNDATION MEDLIGHT,PCK,,125,275,,
,,,,,,,
,,,,,,,
,OTHER BEAUTY -LGD REALMS,,,,,,
OLP,REALMS OATMEAL SOAP,BAR,, 180.00 , 180.00 ,10,1/26/26
OLP,REALMS GINGER SOAP,BAR,, 180.00 , 180.00 ,9,1/26/26
OLP,REALMS COFFEE SOAP,BAR,, 180.00 , 180.00 ,9,1/26/26
