Location,Description,Unit,Quantity,Unit Cost,Suggested Price,Total Value
THS - Gmall Davao,KOREAN RED GINSENG EXTRACT CAPSULE 120S PC,PC,0.00,15.00,32.00,0
THS - Gmall Davao,LIDAN TABLETS 120S,BOT,0.00,222.50,345.00,0
THS - Gmall Davao,LIVER AID 100S,BOT,0.00,140.00,340.00,0
THS - Gmall Davao,L-MENTHOL PO HO PING INHALER BIG,BOX,7.00,150.00,250.00,1050
THS - Gmall Davao,L-MENTHOL PO HO PING INHALER SMALL,BOX,21.00,60.00,90.00,1260
THS - Gmall Davao,MAXMAN CAPSULE 12'S,BOT,0.00,100.00,600.00,0
THS - Gmall Davao,MAXMAN CAPSULE 12'S PC,PC,0.00,8.33,50.00,0
THS - Gmall Davao,MAXMAN TABLET 10'S,CAN,0.00,90.00,500.00,0
THS - Gmall Davao,MAXMAN TABLET 10'S PC,PC,0.00,9.00,50.00,0
THS - Gmall Davao,MAGNA RX 10S (WHITE),BOT,0.00,180.00,375.00,0
THS - Gmall Davao,MAGNA RX 10S (WHITE) PC,PC,0.00,18.00,38.00,0
THS - Gmall Davao,MEMORY BRAIN TONIC 100S,BOT,0.00,220.00,320.00,0
THS - Gmall Davao,MENA CREAM BLUE,BOX,8.00,23.62,30.00,188.96
THS - Gmall Davao,MENA FACIAL CREAM,BOX,16.00,20.00,40.00,320
THS - Gmall Davao,MENA FACIAL CREAM STICK 4.5GM,STICK,0.00,35.00,50.00,0
THS - Gmall Davao,OLDELANDIA 60S,BOT,7.00,117.50,245.00,822.5
THS - Gmall Davao,OSEUR CREAM,BOX,0.00,18.33,35.00,0
THS - Gmall Davao,PANAX GINSENG EXTRACTUM 30S,BOT,3.00,130.00,195.00,390
THS - Gmall Davao,PE MIN KAN WAN,BOT,0.00,120.00,175.00,0
THS - Gmall Davao,PEI PA KOA 150ML,BOT,0.00,195.00,320.00,0
THS - Gmall Davao,PEI PA KOA 300ML,BOT,5.00,350.00,595.00,1750
THS - Gmall Davao,PEI PA KOA 75ML,BOT,2.00,155.02,260.00,310.04
THS - Gmall Davao,PEI PA KOA CANDY 24S,PACK,9.00,102.51,120.00,922.59
THS - Gmall Davao,PEI PA KOA CANDY 24S PC,PC,0.00,4.27,6.00,0
THS - Gmall Davao,PEI PA KOA CANDY 24S (FAT&THIN),PACK,0.00,82.50,145.00,0
THS - Gmall Davao,PHOSDOC BRAIN TONIC 150ML.,BOT,11.00,190.00,260.00,2090
THS - Gmall Davao,PIYEN CHIN 10ML 50S,BOT,17.00,15.00,30.00,255
THS - Gmall Davao,RAPID SLIM 12'S,BOX,0.00,180.00,395.00,0
THS - Gmall Davao,GLUTHATHIONE 2-IN-1 SOAP,BAR,0.00,90.00,195.00,0
THS - Gmall Davao,RENOW-D FACIAL CREAM BIG,BOX,0.00,35.00,65.00,0
